"subjID","age","dob","gender","language","condition","trial_type","trial_index","stimulus","pointvals_firsthalf","button_pressed","earnedThis","earnedCumulative","posttest","responses","time_elapsed","group","highestVal","highestValLag","exploit","explore","earnedPrev","same","switch","status","time"
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",8,"sound/2star.wav",1263,NA,2,2,NA,NA,77784,"adult",2,NA,1,0,NA,NA,NA,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",10,"sound/2star.wav",1263,NA,2,4,NA,NA,80641,"adult",2,2,1,0,2,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",12,"sound/3star.wav",1263,NA,3,7,NA,NA,82805,"adult",3,2,1,0,2,0,1,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",14,"sound/6star.wav",1263,NA,6,13,NA,NA,84922,"adult",6,3,1,0,3,0,1,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",16,"sound/1star.wav",1263,NA,1,14,NA,NA,87126,"adult",6,6,0,1,6,0,1,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",18,"sound/6star.wav",1263,NA,6,20,NA,NA,89140,"adult",6,6,1,0,1,0,1,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",20,"sound/6star.wav",1263,NA,6,26,NA,NA,92215,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",22,"sound/6star.wav",1263,NA,6,32,NA,NA,94506,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",24,"sound/6star.wav",1263,NA,6,38,NA,NA,96942,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",26,"sound/6star.wav",1263,NA,6,44,NA,NA,99500,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",28,"sound/6star.wav",1263,NA,6,50,NA,NA,102071,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",30,"sound/6star.wav",1263,NA,6,56,NA,NA,104998,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",32,"sound/6star.wav",1263,NA,6,62,NA,NA,108387,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",34,"sound/6star.wav",1263,NA,6,68,NA,NA,111181,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",36,"sound/6star.wav",1263,NA,6,74,NA,NA,115038,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",38,"sound/6star.wav",1263,NA,6,80,NA,NA,117802,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",40,"sound/6star.wav",1263,NA,6,86,NA,NA,120185,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",42,"sound/6star.wav",1263,NA,6,92,NA,NA,122477,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",44,"sound/6star.wav",1263,NA,6,98,NA,NA,125079,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",46,"sound/6star.wav",1263,NA,6,104,NA,NA,128154,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",48,"sound/6star.wav",1263,NA,6,110,NA,NA,130883,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",50,"sound/6star.wav",1263,NA,6,116,NA,NA,133488,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",52,"sound/6star.wav",1263,NA,6,122,NA,NA,136395,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",54,"sound/6star.wav",1263,NA,6,128,NA,NA,138040,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",56,"sound/6star.wav",1263,NA,6,134,NA,NA,141938,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",58,"sound/6star.wav",1263,NA,6,140,NA,NA,144229,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",60,"sound/6star.wav",1263,NA,6,146,NA,NA,147034,"adult",6,6,1,0,6,1,0,0,80
"C106540",19,"7/30/99","Female","English","dynamic","audio-keyboard-response",62,"sound/6star.wav",1263,NA,6,152,NA,NA,149612,"adult",6,6,1,0,6,1,0,0,80
